SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","47","Livingston ESA","47010","Brighton Area Schools","00403","Scranton Middle School","LEA School","Suburb: Midsize","908","476","432","2","15","3","20","1","855","12","0","0","0","0","0","0","0","455","452","1","0","0","0","79","105","<10"
"15 - 16 School Year","47","Livingston ESA","47010","Brighton Area Schools","06397","Spencer Road Elementary School","LEA School","Suburb: Midsize","475","248","227","0","3","3","15","0","453","1","113","86","116","90","70","0","0","0","0","0","0","0","0","68","63","<10"
"15 - 16 School Year","47","Livingston ESA","47902","Charyl Stockwell Academy","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47902","Charyl Stockwell Academy","08327","Charyl Stockwell Academy","PSA School","Rural: Fringe","570","268","302","3","5","3","35","0","508","16","84","72","108","83","107","116","0","0","0","0","0","0","0","52","29","<10"
"15 - 16 School Year","47","Livingston ESA","47902","Charyl Stockwell Academy","09941","Charyl Stockwell Academy - High School","PSA School","Suburb: Midsize","459","237","222","1","7","6","20","0","413","12","0","0","0","0","0","0","86","95","79","72","48","35","44","41","37","<10"
"15 - 16 School Year","47","Livingston ESA","47903","FlexTech High School","00000","Administrative Unit","Administrative Unit","Suburb: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47903","FlexTech High School","00760","FlexTech High School","PSA School","Suburb: Midsize","274","163","111","2","0","1","12","0","256","3","0","0","0","0","0","0","0","0","0","19","43","81","131","63","23","<10"
"15 - 16 School Year","47","Livingston ESA","47030","Fowlerville Community Schools","00000","Administrative Unit","Administrative Unit","Town: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47030","Fowlerville Community Schools","01286","Fowlerville High School","LEA School","Town: Fringe","867","456","411","7","4","7","16","1","826","6","0","0","0","0","0","0","0","0","0","248","212","231","176","219","100","<10"
"15 - 16 School Year","47","Livingston ESA","47030","Fowlerville Community Schools","08712","Fowlerville Junior High School","LEA School","Town: Fringe","681","363","318","13","2","10","16","0","632","8","0","0","0","0","0","0","225","235","221","0","0","0","0","193","93","<10"
"15 - 16 School Year","47","Livingston ESA","47030","Fowlerville Community Schools","01038","Fowlerville Online Learning Academy","LEA School","Town: Fringe","38","17","21","0","0","0","0","0","37","1","0","0","0","0","0","0","1","0","2","4","3","11","17","13","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47030","Fowlerville Community Schools","01285","H.T. Smith Elementary School","LEA School","Town: Fringe","613","317","296","1","0","2","18","0","582","10","195","205","213","0","0","0","0","0","0","0","0","0","0","213","47","<10"
"15 - 16 School Year","47","Livingston ESA","47030","Fowlerville Community Schools","09932","John S. Munn Early Childhood Center","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47030","Fowlerville Community Schools","07706","Natalie Kreeger Elementary School","LEA School","Town: Fringe","703","370","333","4","6","9","17","0","659","8","0","0","0","233","224","246","0","0","0","0","0","0","0","275","77","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","09048","Creekside Elementary School","LEA School","Rural: Fringe","451","235","216","1","2","1","12","0","424","11","105","75","97","74","100","0","0","0","0","0","0","0","0","64","34","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","05789","Hartland Farms Intermediate School","LEA School","Rural: Fringe","844","448","396","8","6","6","19","2","793","10","0","0","0","0","2","445","397","0","0","0","0","0","0","96","83","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","01601","Hartland High School","LEA School","Suburb: Large","1919","1005","914","5","21","9","46","3","1821","14","0","0","0","0","0","0","0","0","0","486","525","469","439","211","138","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","06874","Hartland Lakes Elementary School","LEA School","Rural: Fringe","475","252","223","0","1","2","13","0","453","6","74","94","100","99","108","0","0","0","0","0","0","0","0","40","23","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","08606","Hartland M.S. at Ore Creek","LEA School","Suburb: Large","917","463","454","4","9","3","25","0","866","10","0","0","0","0","0","0","0","475","442","0","0","0","0","111","89","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","01600","Hartland Round Elementary School","LEA School","Rural: Fringe","382","192","190","2","3","3","3","0","368","3","68","76","77","75","86","0","0","0","0","0","0","0","0","48","24","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","02127","Hartland Village Elementary School","LEA School","Rural: Fringe","461","241","220","0","0","5","13","1","435","7","109","84","78","97","93","0","0","0","0","0","0","0","0","88","46","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","01388","Hartland Virtual Academy","LEA School","Rural: Fringe","18","9","9","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","1","2","15","6","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47060","Hartland Consolidated Schools","05150","Legacy High School","LEA School","Rural: Fringe","70","45","25","0","1","1","0","0","68","0","0","0","0","0","0","0","0","0","0","5","10","14","41","34","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","00000","Administrative Unit","Administrative Unit","Suburb: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","07653","Challenger Elementary School","LEA School","Suburb: Midsize","480","258","222","4","2","0","16","1","445","12","105","73","73","81","61","87","0","0","0","0","0","0","0","193","58","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","06118","Highlander Way Middle School","LEA School","Suburb: Midsize","836","449","387","9","11","6","30","1","766","13","0","0","0","0","0","0","302","248","286","0","0","0","0","291","112","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","02436","Howell High School","LEA School","Suburb: Midsize","2486","1225","1261","20","33","8","42","10","2358","15","0","0","0","0","0","0","0","0","0","600","654","613","619","694","272","19"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","03347","Innovation Academy","LEA School","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","03379","Little Highlanders Learning Center","LEA School","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","02773","Northwest Elementary School","LEA School","Suburb: Midsize","406","219","187","2","1","4","11","1","383","4","84","57","63","72","70","60","0","0","0","0","0","0","0","108","45","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","01775","Parker Middle School","LEA School","Rural: Fringe","878","477","401","4","9","10","18","1","824","12","0","0","0","0","0","0","279","303","296","0","0","0","0","277","124","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","09167","Ruahmah J. Hutchings Elementary","LEA School","Rural: Fringe","536","283","253","7","7","4","15","0","497","6","88","77","82","81","92","116","0","0","0","0","0","0","0","115","69","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","03552","Southwest Elementary School","LEA School","Suburb: Midsize","503","270","233","2","12","2","44","4","433","6","100","75","78","80","84","86","0","0","0","0","0","0","0","162","41","34"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","03158","Three Fires Elementary","LEA School","Rural: Fringe","336","171","165","0","6","3","10","0","304","13","54","44","56","54","57","71","0","0","0","0","0","0","0","142","35","<10"
"15 - 16 School Year","47","Livingston ESA","47070","Howell Public Schools","08624","Voyager Elementary School","LEA School","Suburb: Midsize","497","272","225","5","7","2","7","0","472","4","81","72","89","81","83","91","0","0","0","0","0","0","0","140","40","<10"
"15 - 16 School Year","47","Livingston ESA","47901","Kensington Woods Schools","00000","Administrative Unit","Administrative Unit","Suburb: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47901","Kensington Woods Schools","08248","Kensington Woods Schools","PSA School","Suburb: Midsize","155","83","72","0","1","0","3","0","149","2","0","0","0","0","0","0","12","23","27","27","24","19","23","17","25","<10"
"15 - 16 School Year","47","Livingston ESA","47900","Light of the World Academy","00000","Administrative Unit","Administrative Unit","Suburb: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47900","Light of the World Academy","02707","Light of the World Academy","PSA School","Suburb: Midsize","137","79","58","1","6","1","0","0","129","0","32","27","16","26","14","10","12","0","0","0","0","0","0","17","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47000","Livingston ESA  - District created from ISD","00000","Administrative Unit","Administrative Unit","Suburb: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47000","Livingston ESA  - District created from ISD","02946","Adult Transition Services","ISD Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47000","Livingston ESA  - District created from ISD","09440","Community Based Early Childhood Services","ISD Unique Education Provider","Suburb: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47000","Livingston ESA  - District created from ISD","02952","Livingston County Adult Education","ISD Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47000","Livingston ESA  - District created from ISD","03613","Pathway School","ISD School","Suburb: Midsize","194","119","75","0","2","3","2","0","187","0","4","0","7","6","6","5","3","3","4","6","8","7","2","60","194","<10"
"15 - 16 School Year","47","Livingston ESA","47080","Pinckney Community Schools","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","47","Livingston ESA","47080","Pinckney Community Schools","00564","Country Elementary School","LEA School","Suburb: Midsize","312","141","171","0","1","4","7","0","290","10","80","78","73","81","0","0","0","0","0","0","0","0","0","64","42","<10"
"15 - 16 School Year","47","Livingston ESA","47080","Pinckney Community Schools","07720","Farley Hill Elementary School","LEA School","Rural: Fringe","363","182","181","0","0","1","11","0","343","8","108","77","82","96","0","0","0","0","0","0","0","0","0","75","36","<10"
"15 - 16 School Year","47","Livingston ESA","47080","Pinckney Community Schools","06553","Navigator Upper Elementary School","LEA School","Suburb: Midsize","683","363","320","3","6","2","16","0","648","8","0","0","0","0","193","229","261","0","0","0","0","0","0","137","91","<10"
"15 - 16 School Year","47","Livingston ESA","47080","Pinckney Community Schools","08715","Pathfinder School","LEA School","Suburb: Midsize","565","293","272","2","6","4","11","0","534","8","0","0","0","0","0","0","4","272","289","0","0","0","0","83","78","<10"
"15 - 16 School Year","47","Livingston ESA","47080","Pinckney Community Schools","03038","Pinckney  Community High School","LEA School","Rural: Fringe","1296","658","638","1","13","3","23","0","1247","9","0","0","0","0","0","0","0","0","0","293","325","394","284","163","124","<10"
"15 - 16 School Year","47","Livingston ESA","47080","Pinckney Community Schools","01218","Transportation & Maintenance Facility","LEA Non-Instructional Ancillary Facility","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50911","Academy of Warren","09602","Academy of Warren","PSA School","City: Midsize","540","260","280","1","2","524","4","0","0","9","58","58","60","66","64","53","69","68","44","0","0","0","0","535","30","<10"
"15 - 16 School Year","50","Macomb ISD","50911","Academy of Warren","00000","Administrative Unit","Administrative Unit","City: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","09638","Anchor Bay Aquatic Center","LEA Non-Instructional Ancillary Facility","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","00089","Anchor Bay High School","LEA School","Rural: Fringe","1956","970","986","1","19","60","43","2","1778","53","0","0","0","0","0","0","0","0","0","502","469","502","483","392","234","18"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","00088","Anchor Bay Middle School North","LEA School","Suburb: Large","935","446","489","0","9","19","21","3","854","29","0","0","0","0","0","0","301","319","315","0","0","0","0","145","77","16"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","08710","Anchor Bay Middle School South","LEA School","Suburb: Large","504","273","231","3","4","15","14","0","452","16","0","0","0","0","0","0","164","169","171","0","0","0","0","150","77","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","09639","Anchor Bay Transportation Center","LEA Non-Instructional Ancillary Facility","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","00091","Ashley Elementary School","LEA School","Suburb: Large","495","253","242","1","2","12","4","1","467","8","81","77","75","88","84","90","0","0","0","0","0","0","0","69","54","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","08474","Compass Pointe","LEA School","Suburb: Large","88","60","28","0","0","5","2","0","78","3","0","0","0","1","2","1","1","3","4","3","11","18","44","37","17","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","00884","Dean A. Naldrett School","LEA School","Suburb: Large","180","89","91","1","4","9","4","0","156","6","24","24","25","34","33","40","0","0","0","0","0","0","0","33","23","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","09626","Early Childhood Center","LEA Unique Education Provider","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","08623","Francois Maconce Elem. School","LEA School","Rural: Fringe","293","151","142","3","5","6","14","0","243","22","57","47","45","43","48","53","0","0","0","0","0","0","0","191","58","14"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","06766","Great Oaks Elementary School","LEA School","Suburb: Large","436","219","217","1","3","9","4","1","405","13","63","75","67","77","81","73","0","0","0","0","0","0","0","53","35","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","09208","Lighthouse Elementary School","LEA School","Suburb: Large","484","254","230","3","4","11","6","0","449","11","79","74","75","80","87","89","0","0","0","0","0","0","0","70","56","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","06262","Lottie M. Schmidt Elem. School","LEA School","Suburb: Large","337","186","151","0","3","12","8","0","300","14","55","45","55","53","57","72","0","0","0","0","0","0","0","114","45","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","00928","MacDonald Elementary EC School","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50040","Anchor Bay School District","06600","Sugarbush Elementary School","LEA School","Suburb: Large","282","138","144","0","2","6","13","0","255","6","46","46","44","51","55","40","0","0","0","0","0","0","0","75","41","<10"
"15 - 16 School Year","50","Macomb ISD","50050","Armada Area Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50050","Armada Area Schools","00797","Armada Continuing Education Center","LEA School","Rural: Distant","14","9","5","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","1","13","4","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50050","Armada Area Schools","00119","Armada High School","LEA School","Rural: Distant","691","358","333","0","2","0","8","0","677","4","0","0","0","0","0","0","0","0","0","156","199","157","179","121","51","<10"
"15 - 16 School Year","50","Macomb ISD","50050","Armada Area Schools","06493","Armada Middle School","LEA School","Rural: Distant","452","215","237","3","1","0","14","0","431","3","0","0","0","0","0","0","149","154","149","0","0","0","0","92","30","<10"
"15 - 16 School Year","50","Macomb ISD","50050","Armada Area Schools","08736","Macomb Academy of Arts & Sciences","LEA Unique Education Provider","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50050","Armada Area Schools","08904","Orville C. Krause Elementary School","LEA School","Rural: Distant","371","185","186","1","4","0","6","0","356","4","0","0","0","111","118","142","0","0","0","0","0","0","0","68","35","<10"
"15 - 16 School Year","50","Macomb ISD","50905","Arts Academy in the Woods","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50905","Arts Academy in the Woods","08884","Arts Academy in the Woods","PSA School","Suburb: Large","362","101","261","1","4","136","8","1","193","19","0","0","0","0","0","0","0","0","0","113","109","83","57","171","38","<10"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","00896","Academy 21","LEA School","Suburb: Large","178","91","87","1","6","36","6","0","119","10","0","0","0","0","0","0","1","1","7","24","59","58","28","97","23","<10"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","00580","Center Line High School","LEA School","Suburb: Large","722","385","337","1","58","167","18","1","432","45","0","0","0","0","0","0","0","0","0","193","207","162","160","489","79","46"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","02247","Center Line Partnership","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","00842","Crothers Elementary School","LEA School","City: Midsize","326","157","169","0","23","66","18","0","189","30","52","41","59","57","58","59","0","0","0","0","0","0","0","239","28","59"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","02066","Early Childhood Center","LEA Unique Education Provider","City: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","02380","Mark C. Roose Elementary School","LEA School","City: Midsize","454","227","227","1","105","81","16","0","230","21","81","77","79","80","65","72","0","0","0","0","0","0","0","353","33","128"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","02445","May V. Peck Elementary School","LEA School","City: Midsize","325","172","153","3","19","76","16","0","181","30","51","50","50","62","60","52","0","0","0","0","0","0","0","236","25","34"
"15 - 16 School Year","50","Macomb ISD","50010","Center Line Public Schools","04575","Wolfe Middle School","LEA School","Suburb: Large","605","312","293","1","63","142","24","1","329","45","0","0","0","0","0","0","201","199","205","0","0","0","0","445","71","48"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","05762","Algonquin Middle School","LEA School","Suburb: Large","532","290","242","2","9","77","26","0","389","29","0","0","0","0","0","0","189","171","172","0","0","0","0","219","78","15"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","07986","Cherokee Elementary School","LEA School","Suburb: Large","592","281","311","1","23","67","41","0","425","35","99","82","104","95","113","99","0","0","0","0","0","0","0","217","63","62"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","08627","Cheyenne Elementary School","LEA School","Suburb: Large","644","338","306","0","27","32","10","2","559","14","69","100","110","115","123","127","0","0","0","0","0","0","0","55","45","40"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","07984","Chippewa Valley Adult and Mohegan Alt. Educ.","LEA School","Suburb: Large","154","100","54","1","1","39","4","0","106","3","0","0","0","0","0","0","0","0","0","2","12","31","109","51","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","00679","Chippewa Valley High School","LEA School","Suburb: Large","2441","1194","1247","3","56","388","122","3","1736","133","0","0","0","0","0","0","0","0","0","616","662","571","592","683","289","127"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","00728","Clinton Valley Elementary School","LEA School","Suburb: Large","336","145","191","4","8","44","9","0","237","34","50","59","64","56","52","55","0","0","0","0","0","0","0","191","38","<10"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","08000","Dakota High School","LEA School","Suburb: Large","2917","1505","1412","4","90","236","69","7","2439","72","0","0","0","0","0","0","0","0","0","760","765","708","684","367","333","102"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","07370","Erie Elementary School","LEA School","Suburb: Large","532","278","254","1","11","60","19","1","420","20","79","77","87","96","97","96","0","0","0","0","0","0","0","146","62","51"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","00557","Fox Elementary School","LEA School","Suburb: Large","518","261","257","3","8","32","61","0","391","23","71","97","85","75","107","83","0","0","0","0","0","0","0","228","60","107"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","06359","Huron Elementary School","LEA School","Suburb: Large","493","251","242","0","12","71","30","1","357","22","83","82","75","90","87","76","0","0","0","0","0","0","0","185","84","80"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","09886","International Academy of Macomb","LEA School","Suburb: Large","475","212","263","1","67","24","9","1","359","14","0","0","0","0","0","0","0","0","0","136","124","106","109","49","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","02655","Iroquois Middle School","LEA School","Suburb: Large","1039","521","518","2","30","50","50","2","882","23","0","0","0","0","0","0","338","342","359","0","0","0","0","186","106","82"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","06588","Miami Elementary School","LEA School","Suburb: Large","509","287","222","0","13","77","19","0","372","28","86","83","75","96","87","82","0","0","0","0","0","0","0","198","68","79"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","07214","Mohawk Elementary School","LEA School","Suburb: Large","434","216","218","1","10","15","15","0","380","13","60","56","67","73","90","88","0","0","0","0","0","0","0","61","33","49"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","02821","Ojibwa Elementary School","LEA School","Suburb: Large","673","331","342","0","23","59","30","2","535","24","101","106","113","116","114","123","0","0","0","0","0","0","0","142","62","51"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","05326","Ottawa Elementary School","LEA School","Suburb: Large","389","205","184","0","3","54","22","0","294","16","54","64","63","63","71","74","0","0","0","0","0","0","0","143","38","24"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","07985","Seneca Middle School","LEA School","Suburb: Large","1421","755","666","1","53","102","45","3","1169","48","0","0","0","0","0","0","477","459","485","0","0","0","0","228","138","65"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","09670","Sequoyah Elementary School","LEA School","Suburb: Large","746","378","368","0","25","17","12","3","671","18","117","111","123","125","146","124","0","0","0","0","0","0","0","48","60","67"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","09035","Shawnee Elementary School","LEA School","Suburb: Large","859","418","441","1","42","37","22","1","727","29","133","133","133","141","155","164","0","0","0","0","0","0","0","64","56","77"
"15 - 16 School Year","50","Macomb ISD","50080","Chippewa Valley Schools","00729","Wyandot Middle School","LEA School","Suburb: Large","954","481","473","2","31","139","37","0","705","40","0","0","0","0","0","1","303","309","341","0","0","0","0","300","147","84"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","04103","Charles C. McGlinnen School","LEA School","Suburb: Large","287","151","136","0","2","133","10","0","124","18","31","38","43","47","39","42","47","0","0","0","0","0","0","213","59","11"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","00731","Clintondale High School","LEA School","Suburb: Large","472","249","223","0","5","313","4","0","134","16","0","0","0","0","0","0","0","0","0","126","119","97","121","371","93","<10"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","05031","Clintondale Middle School","LEA School","Suburb: Large","231","126","105","1","4","137","5","1","69","14","0","0","0","0","0","0","0","117","114","0","0","0","0","199","58","11"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","02907","Clintondale Virtual Academy","LEA School","Suburb: Large","37","15","22","0","1","12","0","0","21","3","0","0","0","0","0","0","0","1","2","11","9","9","5","15","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","07669","Continuing Education Center","LEA School","Suburb: Large","454","265","189","3","2","259","11","0","150","29","0","0","0","0","0","0","5","12","14","216","85","84","38","228","<10","<10"
